v8-version,8,4,371,23,-node.85,0
code-creation,Builtin,3,2172,0x135e1e0,764,AsyncFunctionEnter
code-creation,Builtin,3,2174,0x135e4e0,161,AsyncFunctionReject
code-creation,Builtin,3,2177,0x135e5a0,153,AsyncFunctionResolve
code-creation,Builtin,3,2179,0x135e640,24,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,2182,0x135e660,2332,AsyncFunctionAwaitCaught
code-creation,Builtin,3,2185,0x135ef80,2332,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,2188,0x135f8a0,219,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,2191,0x135f980,219,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,2194,0x135fa60,8,BigIntConstructor
code-creation,Builtin,3,2196,0x135fa80,8,BigIntAsUintN
code-creation,Builtin,3,2199,0x135faa0,8,BigIntAsIntN
code-creation,Builtin,3,2201,0x135fac0,8,BigIntPrototypeToLocaleString
code-creation,Builtin,3,2204,0x135fae0,8,BigIntPrototypeToString
code-creation,Builtin,3,2207,0x135fb00,8,BigIntPrototypeValueOf
code-creation,Builtin,3,2210,0x135fb20,8,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,2213,0x135fb40,8,CallSitePrototypeGetEnclosingColumnNumber
code-creation,Builtin,3,2216,0x135fb60,8,CallSitePrototypeGetEnclosingLineNumber
code-creation,Builtin,3,2219,0x135fb80,8,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,2222,0x135fba0,8,CallSitePrototypeGetFileName
code-creation,Builtin,3,2225,0x135fbc0,8,CallSitePrototypeGetFunction
code-creation,Builtin,3,2228,0x135fbe0,8,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,2232,0x135fc00,8,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,2235,0x135fc20,8,CallSitePrototypeGetMethodName
code-creation,Builtin,3,2238,0x135fc40,8,CallSitePrototypeGetPosition
code-creation,Builtin,3,2240,0x135fc60,8,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,2244,0x135fc80,8,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,2247,0x135fca0,8,CallSitePrototypeGetThis
code-creation,Builtin,3,2249,0x135fcc0,8,CallSitePrototypeGetTypeName
code-creation,Builtin,3,2252,0x135fce0,8,CallSitePrototypeIsAsync
code-creation,Builtin,3,2255,0x135fd00,8,CallSitePrototypeIsConstructor
code-creation,Builtin,3,2258,0x135fd20,8,CallSitePrototypeIsEval
code-creation,Builtin,3,2260,0x135fd40,8,CallSitePrototypeIsNative
code-creation,Builtin,3,2263,0x135fd60,8,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,2266,0x135fd80,8,CallSitePrototypeIsToplevel
code-creation,Builtin,3,2269,0x135fda0,8,CallSitePrototypeToString
code-creation,Builtin,3,2271,0x135fdc0,8,ConsoleDebug
code-creation,Builtin,3,2274,0x135fde0,8,ConsoleError
code-creation,Builtin,3,2276,0x135fe00,8,ConsoleInfo
code-creation,Builtin,3,2278,0x135fe20,8,ConsoleLog
code-creation,Builtin,3,2280,0x135fe40,8,ConsoleWarn
code-creation,Builtin,3,2283,0x135fe60,8,ConsoleDir
code-creation,Builtin,3,2285,0x135fe80,8,ConsoleDirXml
code-creation,Builtin,3,2287,0x135fea0,8,ConsoleTable
code-creation,Builtin,3,2289,0x135fec0,8,ConsoleTrace
code-creation,Builtin,3,2292,0x135fee0,8,ConsoleGroup
code-creation,Builtin,3,2294,0x135ff00,8,ConsoleGroupCollapsed
code-creation,Builtin,3,2296,0x135ff20,8,ConsoleGroupEnd
code-creation,Builtin,3,2299,0x135ff40,8,ConsoleClear
code-creation,Builtin,3,2301,0x135ff60,8,ConsoleCount
code-creation,Builtin,3,2303,0x135ff80,8,ConsoleCountReset
code-creation,Builtin,3,2306,0x135ffa0,8,ConsoleAssert
code-creation,Builtin,3,2308,0x135ffc0,8,ConsoleProfile
code-creation,Builtin,3,2310,0x135ffe0,8,ConsoleProfileEnd
code-creation,Builtin,3,2313,0x1360000,8,ConsoleTime
code-creation,Builtin,3,2315,0x1360020,8,ConsoleTimeLog
code-creation,Builtin,3,2318,0x1360040,8,ConsoleTimeEnd
code-creation,Builtin,3,2320,0x1360060,8,ConsoleTimeStamp
code-creation,Builtin,3,2323,0x1360080,8,ConsoleContext
code-creation,Builtin,3,2325,0x13600a0,8,DataViewConstructor
code-creation,Builtin,3,2328,0x13600c0,8,DateConstructor
code-creation,Builtin,3,2330,0x13600e0,238,DatePrototypeGetDate
code-creation,Builtin,3,2332,0x13601e0,238,DatePrototypeGetDay
code-creation,Builtin,3,2335,0x13602e0,238,DatePrototypeGetFullYear
code-creation,Builtin,3,2338,0x13603e0,238,DatePrototypeGetHours
code-creation,Builtin,3,2341,0x13604e0,210,DatePrototypeGetMilliseconds
code-creation,Builtin,3,2343,0x13605c0,238,DatePrototypeGetMinutes
code-creation,Builtin,3,2346,0x13606c0,238,DatePrototypeGetMonth
code-creation,Builtin,3,2349,0x13607c0,238,DatePrototypeGetSeconds
code-creation,Builtin,3,2352,0x13608c0,174,DatePrototypeGetTime
code-creation,Builtin,3,2354,0x1360980,210,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,2357,0x1360a60,210,DatePrototypeGetUTCDate
code-creation,Builtin,3,2360,0x1360b40,210,DatePrototypeGetUTCDay
code-creation,Builtin,3,2363,0x1360c20,210,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,2365,0x1360d00,210,DatePrototypeGetUTCHours
code-creation,Builtin,3,2368,0x1360de0,210,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,2371,0x1360ec0,210,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,2374,0x1360fa0,210,DatePrototypeGetUTCMonth
code-creation,Builtin,3,2377,0x1361080,210,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,2380,0x1361160,174,DatePrototypeValueOf
code-creation,Builtin,3,2383,0x1361220,488,DatePrototypeToPrimitive
code-creation,Builtin,3,2385,0x1361420,8,DatePrototypeGetYear
code-creation,Builtin,3,2388,0x1361440,8,DatePrototypeSetYear
code-creation,Builtin,3,2390,0x1361460,8,DateNow
code-creation,Builtin,3,2392,0x1361480,8,DateParse
code-creation,Builtin,3,2394,0x13614a0,8,DatePrototypeSetDate
code-creation,Builtin,3,2397,0x13614c0,8,DatePrototypeSetFullYear
code-creation,Builtin,3,2401,0x13614e0,8,DatePrototypeSetHours
code-creation,Builtin,3,2403,0x1361500,8,DatePrototypeSetMilliseconds
code-creation,Builtin,3,2406,0x1361520,8,DatePrototypeSetMinutes
code-creation,Builtin,3,2409,0x1361540,8,DatePrototypeSetMonth
code-creation,Builtin,3,2411,0x1361560,8,DatePrototypeSetSeconds
code-creation,Builtin,3,2414,0x1361580,8,DatePrototypeSetTime
code-creation,Builtin,3,2416,0x13615a0,8,DatePrototypeSetUTCDate
code-creation,Builtin,3,2419,0x13615c0,8,DatePrototypeSetUTCFullYear
code-creation,Builtin,3,2422,0x13615e0,8,DatePrototypeSetUTCHours
code-creation,Builtin,3,2425,0x1361600,8,DatePrototypeSetUTCMilliseconds
code-creation,Builtin,3,2427,0x1361620,8,DatePrototypeSetUTCMinutes
code-creation,Builtin,3,2430,0x1361640,8,DatePrototypeSetUTCMonth
code-creation,Builtin,3,2433,0x1361660,8,DatePrototypeSetUTCSeconds
code-creation,Builtin,3,2435,0x1361680,8,DatePrototypeToDateString
code-creation,Builtin,3,2438,0x13616a0,8,DatePrototypeToISOString
code-creation,Builtin,3,2441,0x13616c0,8,DatePrototypeToUTCString
code-creation,Builtin,3,2443,0x13616e0,8,DatePrototypeToString
code-creation,Builtin,3,2446,0x1361700,8,DatePrototypeToTimeString
code-creation,Builtin,3,2449,0x1361720,8,DatePrototypeToJson
code-creation,Builtin,3,2451,0x1361740,8,DateUTC
code-creation,Builtin,3,2453,0x1361760,8,ErrorConstructor
code-creation,Builtin,3,2456,0x1361780,8,ErrorCaptureStackTrace
code-creation,Builtin,3,2458,0x13617a0,8,ErrorPrototypeToString
code-creation,Builtin,3,2461,0x13617c0,8,FunctionConstructor
code-creation,Builtin,3,2463,0x13617e0,68,FunctionPrototypeApply
code-creation,Builtin,3,2466,0x1361840,8,FunctionPrototypeBind
code-creation,Builtin,3,2468,0x1361860,904,FastFunctionPrototypeBind
code-creation,Builtin,3,2471,0x1361c00,100,FunctionPrototypeCall
code-creation,Builtin,3,2473,0x1361c80,387,FunctionPrototypeHasInstance
code-creation,Builtin,3,2476,0x1361e20,8,FunctionPrototypeToString
code-creation,Builtin,3,2479,0x1361e40,233,CreateIterResultObject
code-creation,Builtin,3,2482,0x1361f40,950,CreateGeneratorObject
code-creation,Builtin,3,2484,0x1362300,8,GeneratorFunctionConstructor
code-creation,Builtin,3,2487,0x1362320,572,GeneratorPrototypeNext
code-creation,Builtin,3,2489,0x1362560,572,GeneratorPrototypeReturn
code-creation,Builtin,3,2492,0x13627a0,584,GeneratorPrototypeThrow
code-creation,Builtin,3,2495,0x1362a00,8,AsyncFunctionConstructor
code-creation,Builtin,3,2497,0x1362a20,81,GetIteratorWithFeedbackLazyDeoptContinuation
code-creation,Builtin,3,2501,0x1362a80,8,GlobalDecodeURI
code-creation,Builtin,3,2503,0x1362aa0,8,GlobalDecodeURIComponent
code-creation,Builtin,3,2506,0x1362ac0,8,GlobalEncodeURI
code-creation,Builtin,3,2508,0x1362ae0,8,GlobalEncodeURIComponent
code-creation,Builtin,3,2511,0x1362b00,8,GlobalEscape
code-creation,Builtin,3,2513,0x1362b20,8,GlobalUnescape
code-creation,Builtin,3,2515,0x1362b40,8,GlobalEval
code-creation,Builtin,3,2518,0x1362b60,173,GlobalIsFinite
code-creation,Builtin,3,2520,0x1362c20,169,GlobalIsNaN
code-creation,Builtin,3,2522,0x1362ce0,8,JsonParse
code-creation,Builtin,3,2524,0x1362d00,8,JsonStringify
code-creation,Builtin,3,2526,0x1362d20,3249,LoadIC
code-creation,Builtin,3,2528,0x13639e0,3045,LoadIC_Megamorphic
code-creation,Builtin,3,2531,0x13645e0,3077,LoadIC_Noninlined
code-creation,Builtin,3,2533,0x1365200,56,LoadICTrampoline
code-creation,Builtin,3,2536,0x1365240,56,LoadICTrampoline_Megamorphic
code-creation,Builtin,3,2539,0x1365280,6764,KeyedLoadIC
code-creation,Builtin,3,2541,0x1366d00,11452,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,2543,0x13699c0,56,KeyedLoadICTrampoline
